,searches,Ключевик,Ключевик new,Клики,Стоимость кликов,Целевые визиты,Active,Формы/клики,predictions
126,работа яндекс такси нижний новгород,"""яндекс такси Нижний Новгород работа""",,2,69,2,2,100%,работа яндекс такси -Москва Нижний Новгород
127,яндекс такси новосибирск работа,"""яндекс такси Новосибирск работа""",,9,221,4,3,44%,работа яндекс такси -Москва Новосибирск
128,работа яндекс такси новосибирск,"""яндекс такси Новосибирск работа""",,1,16,1,1,100%,работа яндекс такси -Москва Новосибирск
129,яндекс такси работа новосибирск,"""яндекс такси Новосибирск работа""",,1,11,1,1,100%,работа яндекс такси -Москва Новосибирск
130,яндекс такси новочеркасск работа,"""яндекс такси Новочеркасск работа""",,2,22,2,2,100%,работа яндекс такси -Москва Новочеркасск
131,работа яндекс такси омск,"""яндекс такси Омск работа""",,4,32,3,3,75%,работа яндекс такси -Москва Омск
132,яндекс такси работа омск,"""яндекс такси Омск работа""",,11,132,2,2,18%,работа яндекс такси -Москва Омск
133,такси яндекс работа омск,"""яндекс такси Омск работа""",,1,16,1,1,100%,работа яндекс такси -Москва Омск
134,яндекс такси омск работа,"""яндекс такси Омск работа""",,3,19,2,1,67%,работа яндекс такси -Москва Омск
135,работа яндекс такси оренбург,"""яндекс такси Оренбург работа""",,1,5,1,1,100%,работа яндекс такси -Москва Оренбург
136,яндекс такси оренбург работа,"""яндекс такси Оренбург работа""",,1,85,1,1,100%,работа яндекс такси -Москва Оренбург
137,яндекс такси пенза работа,"""яндекс такси Пенза работа""",,1,8,1,1,100%,работа яндекс такси -Москва Пенза
138,яндекс такси пермь работа,"""яндекс такси Пермь работа""",,11,181,4,4,36%,работа яндекс такси -Москва Пермь
139,пермь работа яндекс такси,"""яндекс такси Пермь работа""",,1,16,1,1,100%,работа яндекс такси -Москва Пермь
140,яндекс такси работа пермь,"""яндекс такси Пермь работа""",,1,16,0,1,0%,работа яндекс такси -Москва Пермь
141,яндекс такси питер работа,"""яндекс такси Питер работа""",,2,71,1,1,50%,работа яндекс такси -Москва Питер
142,яндекс такси работа на своем авто,"""яндекс такси работа +на +своем авто""",,6,106,3,2,50%,"""работа яндекс такси на своём авто"""
143,водитель яндекс такси работа,"""яндекс такси работа водителем""",,1,16,2,2,200%,водитель яндекс работа
144,такси яндекс работа водителем,"""яндекс такси работа водителем""",,3,109,0,1,0%,водитель яндекс работа
145,яндекс такси работать,"""яндекс такси работать""",,6,45,6,6,100%,"""яндекс такси работать"""
146,работать яндекс такси,"""яндекс такси работать""",,4,77,3,3,75%,"""яндекс такси работать"""
147,такси яндекс ростов на дону работа,"""яндекс такси Ростов +на дону работа""",,1,26,1,1,100%,работа яндекс такси -Актау -Актобе -Алмата -Альметьевск -Анапа -Анжеро -Судженск -Артем -Архангельск -Асбест -Астана -Атырау -Абакан -Балашиха -Батайск -Батуми -Белгород -Бердск -Березники -Бийск -Бишкек -Брянск -Видное -Владивосток -Владикавказ -Владимир -Волгоград -Вольск -Воронеж -Воскресенск -Геленджик -Георгиевск -Дзержинск -Дзержинский -Дмитров -Долгопрудный -Дубна -Егорьевск -Екатеринбург -Екб -Елец -Ессентуки -Железногорск -Железнодорожный -Зеленоград -Ивантеевка -Ижевск -Искитим -Казань -Калининград -Калуга -караганда -Карасук -Киров -Кирово -Чепецк -Кисловодск -Клин -Ковров -Кокшетау -Коломна -комсомольск -Королёв -Костанай -Кострома -Котельники -Красногорск -Краснодар -Красноярск -Курган -Курск -Кызыл -Кызылорда -Кыштым -Липецк -Лиски -Лобня -Лыткарино -Люберцы -Минеральные -Воды -Можайск -Москва -Мурманск -Муром -Мытищи -Набережные -Челны -Наро-Фоминск -Невинномысск -Нефтеюганск -Нижневартовск -Нижнекамск -Нижний -Новгород -Новгород -Новокузнецк -Новокуйбышевск -Новомосковск -Новороссийск -Новосиб -Новосибирск -Новочеркасск -Ногинск -Норильск -Обнинск -Одинцово -Озерск -Октябрьский -Омск -Оренбург -Острогожск -Павлодар -Пенза -Пермь -Петербург -Петрозаводск -Петропавловск -Подольск -Прокопьевск -Пушкино -Пятигорск -Реутов -Россошь -Ростов -Ростов на дону -Рубцовск -Рязань -Санкт -Петербург -Самара -Саратов -Северодвинск -Семей -Сергиев -Посад -Серов -Серпухов -Солнечногорск -Сочи -Ставрополь -Старый -Оскол -Сызрань -Сыктывкар -Тараз -Тверь -Тольятти -Томск -Троицк -Тула -Тюмень -Ульяновск -Уральск -Уссурийск -Усть -Каменогорск -Уфа -Фрязино -Хабаровск -Хасавюрт -Химки -Чебоксары -Челябинск -Черкесск -Чехов -Шымкент -Щелково -Электросталь -Энгельс -Южно -Сахалинск -Юрга -Ярославль -Мск -Питер -Спб -Петербург
148,яндекс такси рубцовск работа,"""яндекс такси Рубцовск работа""",,4,8,2,2,50%,работа яндекс такси -Москва Рубцовск
149,рубцовск яндекс такси работа,"""яндекс такси Рубцовск работа""",,0,0,0,1,,работа яндекс такси -Москва Рубцовск
150,яндекс такси самара работа,"""яндекс такси Самара работа""",,5,71,2,2,40%,работа яндекс такси -Москва Самара
151,работа яндекс такси самара,"""яндекс такси Самара работа""",,1,7,1,1,100%,работа яндекс такси -Москва Самара
152,яндекс такси работа самара,"""яндекс такси Самара работа""",,1,12,1,1,100%,работа яндекс такси -Москва Самара
153,яндекс такси вакансии спб,"""яндекс такси Спб вакансии""",,20,1006,3,1,15%,вакансия яндекс такси
154,работа яндекс такси спб,"""яндекс такси Спб работа""",,2,24,1,1,50%,работа яндекс такси -Москва Спб
155,такси яндекс работа спб,"""яндекс такси Спб работа""",,1,21,1,1,100%,работа яндекс такси -Москва Спб
156,яндекс такси спб работа,"""яндекс такси Спб работа""",,3,92,1,1,33%,работа яндекс такси -Москва Спб
157,яндекс такси тамбов работа,"""яндекс такси Тамбов работа""",,4,64,2,2,50%,Unknown
158,яндекс такси томск работа,"""яндекс такси Томск работа""",,1,28,1,1,100%,работа яндекс такси -Москва Томск
159,яндекс такси тула работа,"""яндекс такси Тула работа""",,3,40,2,2,67%,работа яндекс такси -Москва Тула
160,яндекс такси тюмень работа,"""яндекс такси Тюмень работа""",,5,116,3,3,60%,работа яндекс такси -Москва Тюмень
161,яндекс такси работа ульяновск,"""яндекс такси Ульяновск работа""",,3,42,3,2,100%,работа яндекс такси -Москва Ульяновск
162,яндекс такси уфа работа,"""яндекс такси Уфа работа""",,14,234,5,3,36%,работа яндекс такси -Москва Уфа
163,яндекс такси работа уфа,"""яндекс такси Уфа работа""",,5,55,2,1,40%,работа яндекс такси -Москва Уфа
164,работа яндекс такси чебоксары,"""яндекс такси Чебоксары работа""",,4,58,4,3,100%,работа яндекс такси -Москва Чебоксары
165,яндекс такси работа чебоксары,"""яндекс такси Чебоксары работа""",,6,99,1,1,17%,работа яндекс такси -Москва Чебоксары
166,такси яндекс челябинск вакансии,"""яндекс такси Челябинск вакансии""",,1,4,1,1,100%,вакансия яндекс такси
167,uber driver,[uber driver],,0,0,1,1,,Unknown
168,uber работа водителем,[uber работа водителем] -такси,,1,49,0,1,0%,Unknown
169,вакансии такси в йошкар оле,[вакансия такси],,1,84,1,1,100%,Unknown
170,работа в арзамасе свежие вакансии такси,[вакансия такси],,1,33,0,1,0%,Unknown
171,водитель в такси чебоксары,[водитель в такси] -2 -арендовать -без -бизнес -вакансия -вип -выбирать -выгодно -г -график -день -документ -ежедневно -женщина -заказ -искать -компания -личной -находить -начинать -ночь -нужный -опыт -официально -предложение -прямая -работодатель -режим -свободный -сити -служба -стаж -стоять -телефон -требование -условие,,1,61,1,1,100%,водитель такси -Москва Чебоксары
172,набор водителей в такси в тольятти,[водитель в такси] -2 -арендовать -без -бизнес -вакансия -вип -выбирать -выгодно -г -график -день -документ -ежедневно -женщина -заказ -искать -компания -личной -находить -начинать -ночь -нужный -опыт -официально -предложение -прямая -работодатель -режим -свободный -сити -служба -стаж -стоять -телефон -требование -условие,,1,48,1,1,100%,водитель такси -Москва Тольятти
173,работа водителем в такси,[водитель в такси] -2 -арендовать -без -бизнес -вакансия -вип -выбирать -выгодно -г -график -день -документ -ежедневно -женщина -заказ -искать -компания -личной -находить -начинать -ночь -нужный -опыт -официально -предложение -прямая -работодатель -режим -свободный -сити -служба -стаж -стоять -телефон -требование -условие,,1,33,1,1,100%,Unknown
174,работа водителем в такси сатурн,[водитель в такси] -2 -арендовать -без -бизнес -вакансия -вип -выбирать -выгодно -г -график -день -документ -ежедневно -женщина -заказ -искать -компания -личной -находить -начинать -ночь -нужный -опыт -официально -предложение -прямая -работодатель -режим -свободный -сити -служба -стаж -стоять -телефон -требование -условие,,1,60,1,1,100%,Unknown
175,регистрация водителей в яндекс такси,[водитель в яндекс такси],,2,70,3,3,150%,регистрация в яндекс такси водитель
176,водитель в яндекс такси уфа,[водитель в яндекс такси],,1,30,1,1,100%,водитель такси -Москва Уфа
177,зарегистрироваться водителем в яндекс такси самара,[водитель в яндекс такси],,1,24,1,1,100%,зарегистрироваться яндекс такси водитель
178,как зарегистрироваться водителю в яндекс такси,[водитель в яндекс такси],,1,37,1,1,100%,зарегистрироваться яндекс такси водитель
179,карточка водителя в яндекс такси,[водитель в яндекс такси],,1,53,0,1,0%,Unknown
180,работа водителем в яндекс такси,[водитель в яндекс такси],,0,0,0,1,,водитель яндекс работа
181,работа водителем в яндекс такси новосибирск отзывы,[водитель в яндекс такси],,0,0,0,1,,водитель яндекс работа
182,регистрация водителя в яндекс такси,[водитель в яндекс такси],,1,46,1,1,100%,регистрация в яндекс такси водитель
183,регистрация водителям в яндекс такси,[водитель в яндекс такси],,1,37,1,1,100%,регистрация в яндекс такси водитель
184,водитель вакансии в таганроге,[водитель вакансия] -2 -аренда -арендовать -без -бизнес -вип -выбирать -выгодно -г -график -день -документ -ежедневно -женщина -заказ -искать -компания -находить -начинать -ночь -нужный -опыт -официально -предложение -прямая -работодатель -режим -свободный -сити -служба -стаж -стоять -таксист -телефон -требование -условие,,2,127,1,1,50%,Unknown
185,водитель категории в,[водитель категории в] -таксист,,0,0,0,1,,Unknown
186,работа водителем такси бизнес класса москва,[водитель такси бизнес],,2,127,1,1,50%,водитель такси -Москва Москва
187,водитель такси на авто компании,[водитель такси на авто] -без -личной,,1,129,0,1,0%,Unknown
188,свежие вакансии в москва и московская область водитель такси на авто компании,[водитель такси на авто] -без -личной,,1,71,1,1,100%,вакансия такси водителем
189,водитель такси на автомобиль фирмы в тушино,[водитель такси на автомобиле] -без -личный,,1,90,1,1,100%,Unknown
190,оставить заявку на вакансию водитель такси ростов,[водитель такси Ростов],,1,148,1,1,100%,вакансия такси водителем
191,водитель такси анапа,[водитель такси] -2 -арендовать -без -бизнес -вакансия -вип -выбирать -выгодно -г -график -день -документ -ежедневно -женщина -заказ -искать -компания -личной -находить -начинать -ночь -нужный -опыт -официально -предложение -прямая -работодатель -режим -свободный -сити -служба -стаж -стоять -телефон -требование -условие,,1,45,1,1,100%,водитель такси -Москва Анапа
192,иш жумуш берилет водитель такси,[водитель такси] -2 -арендовать -без -бизнес -вакансия -вип -выбирать -выгодно -г -график -день -документ -ежедневно -женщина -заказ -искать -компания -личной -находить -начинать -ночь -нужный -опыт -официально -предложение -прямая -работодатель -режим -свободный -сити -служба -стаж -стоять -телефон -требование -условие,,1,29,1,1,100%,Unknown
193,медсправка для водителя такси,[водитель такси] -2 -арендовать -без -бизнес -вакансия -вип -выбирать -выгодно -г -график -день -документ -ежедневно -женщина -заказ -искать -компания -личной -находить -начинать -ночь -нужный -опыт -официально -предложение -прямая -работодатель -режим -свободный -сити -служба -стаж -стоять -телефон -требование -условие,,1,37,0,1,0%,Unknown
194,водитель яндекс такси отзывы водителей,[водитель яндекс такси],,2,92,0,2,0%,Unknown
195,водитель яндекс такси зарплата,[водитель яндекс такси],,1,40,0,1,0%,Unknown
196,водитель яндекс такси ижевск,[водитель яндекс такси],,1,21,1,1,100%,водитель такси -Москва Ижевск
197,как называется приложение для водителей яндекс такси,[водитель яндекс такси],,1,39,0,1,0%,Unknown
198,как стать водителем яндекс такси на своей машине,[водитель яндекс такси],,1,19,1,1,100%,стать водителем яндекс
199,отзыв от водителей яндекс такси в краснодаре,[водитель яндекс такси],,1,28,0,1,0%,водитель такси -Москва Краснодар
200,почему у меня не удается зарегистрироваться водителем яндекс такси,[водитель яндекс такси],,1,30,1,1,100%,зарегистрироваться яндекс такси водитель
201,стимулирование водителей яндекс такси,[водитель яндекс такси],,1,86,0,1,0%,Unknown
202,техподдержка для водителей яндекс такси номер,[водитель яндекс такси],,1,31,0,1,0%,Unknown
203,требуются водители яндекс такси ооо рос,[водитель яндекс такси],,1,28,1,1,100%,Unknown
204,гет такси для водителей,[гет такси для водителей] -работа,,1,44,0,1,0%,Unknown
205,гетт работа,[гетт работа] -gett -водитель -гета -джет -таксист,,1,21,0,1,0%,Unknown
206,сколько зарабатывают таксисты в москве 2017,[заработать таксист],,0,0,0,1,,Unknown
207,ищу работу водителем спб,[ищу работу водителем] -!2 -арендовать -без -бизнес -вип -выбирать -выгодно -график -день -документ -ежедневно -женщина -заказ -компания -находить -начинать -ночь -нужный -опыт -официально -предложение -прямая -работодатель -режим -свободный -сити -служба -стаж -стоять -телефон -требование -условие,,1,41,1,1,100%,Unknown
208,ищу работу водитель погрузчика в спб,[ищу работу водителем] -!2 -арендовать -без -бизнес -вип -выбирать -выгодно -график -день -документ -ежедневно -женщина -заказ -компания -находить -начинать -ночь -нужный -опыт -официально -предложение -прямая -работодатель -режим -свободный -сити -служба -стаж -стоять -телефон -требование -условие,,1,77,1,1,100%,Unknown
209,как работать в такси на своей машине,[как работать в такси] -какой -можно,,1,41,1,1,100%,Unknown
210,можно ли работать в яндекс такси без лицензии,[можно ли работать в яндекс такси],,1,41,0,1,0%,яндекс такси работать
211,подключение к яндекс такси спб,[подключение к яндекс такси Спб],,22,852,4,2,18%,[подключение к яндекс такси] -подключать -подключаться Спб
212,подключение к яндекс такси спб эверест,[подключение к яндекс такси Спб],,1,38,1,1,100%,[подключение к яндекс такси] -подключать -подключаться Спб
213,условия подключения к яндекс такси спб,[подключение к яндекс такси Спб],,1,24,1,1,100%,[подключение к яндекс такси] -подключать -подключаться Спб
214,подключение к яндекс такси,[подключение к яндекс такси] -подключать -подключаться,,7,350,3,2,43%,"""подключение к яндекс такси"""
